OBJECTID,SampleID,saris_pali,waterbody_,waterbody1,CFR,latitude,longitude,date,year,sample_typ,gear,warmwater_,warmwater1,contains_n,coldwater_,coldwater1,min_EBT_le,max_EBT_le,snapped_la,snapped_lo,Last_sampl,Link_to_da,Link_to_pi,ORIG_FID
"1","37","9253750",Howlett Brook,Stream_River,TRUE,42.65472220000,-70.91694440000,1999-07-13,"1999",Total Pick-up,Backpack Shocking,--AE|--BB|--BS|--CP|-LMB|---P|-RBS|--RP|--SL|,0029|0002|0001|0003|0055|0002|0003|0002|0002|,TRUE,--BT|-EBT|,0001|0001|,"81","81",42.65479685880,-70.91689853990,"2002",file:///W:/fisherie/Scanned River Files/Watersheds/Coastal (9)/Ipswich R. Basin (92)/9253750- Howlett Br,NA,"-1"
"4","80","4129175",McKinstry Brook,Stream_River,TRUE,42.12930990000,-72.03078690000,1999-10-01,"1999",Total Pick-up,Backpack Shocking,-BND|--CP|---F|---P|--WS|,0007|0005|0002|0002|0010|,TRUE,-EBT|,0003|,"146","193",42.12919698640,-72.03011423530,"2015",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129175- McKinstry Br,NA,"-1"
"5","81","4129175",McKinstry Brook,Stream_River,TRUE,42.11541590000,-72.03750620000,1999-10-01,"1999",Total Pick-up,Backpack Shocking,-BND|--GS|--WS|--YP|,0054|0007|0040|0001|,TRUE,-EBT|,0008|,"128","241",42.11552032000,-72.03726107180,"2015",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129175- McKinstry Br,NA,"-1"
"6","82","4129200",Hatchet Brook,Stream_River,TRUE,42.06314710000,-72.06437160000,1999-10-05,"1999",Total Pick-up,Backpack Shocking,-BND|--WS|,0044|0018|,TRUE,-EBT|,0005|,"63","194",42.06294846950,-72.06420425660,"2011",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129200- Hatchet Brook,NA,"-1"
"7","96","3625075",Fuller Brook,Stream_River,TRUE,42.15907910000,-72.53588630000,2000-04-20,"2000",Total Pick-up,Backpack Shocking,--AE|-BND|--CS|---F|-LND|---P|--RB|--TD|--WS|--YB|,0001|0038|0041|0069|0014|0001|0001|0014|0014|0002|,TRUE,--BT|-EBT|,0001|0002|,"113","170",42.15921815980,-72.53593970280,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625075- Fuller Br,NA,"-1"
"8","100","5131975",Center Brook,Stream_River,TRUE,42.16806570000,-71.60316770000,2000-07-21,"2000",Total Pick-up,Backpack Shocking,---F|-LMB|--RP|--TD|--WS|,0008|0003|0011|0026|0006|,TRUE,-EBT|,0009|,"72","242",42.16803585090,-71.60303921490,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Narragansett Bay (5)/Blackstone River Basin (51)/5131975- Center Br,NA,"-1"
"9","101","5131975",Center Brook,Stream_River,TRUE,42.15853790000,-71.60742240000,2000-07-07,"2000",Total Pick-up,Backpack Shocking,---B|--CP|-LMB|--RP|--TD|--WS|--YB|,0004|0001|0002|0031|0026|0003|0001|,TRUE,--BT|-EBT|,0004|0039|,"67","315",42.15861350070,-71.60744963030,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Narragansett Bay (5)/Blackstone River Basin (51)/5131975- Center Br,NA,"-1"
"10","102","5132000",Warren Brook,Stream_River,TRUE,42.17319010000,-71.62731200000,2000-07-21,"2000",Total Pick-up,Backpack Shocking,--BB|---P|--RP|--WS|--YB|,0003|0013|0009|0016|0002|,TRUE,-EBT|,0067|,"49","116",42.17318962350,-71.62736544860,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Narragansett Bay (5)/Blackstone River Basin (51)/5132000- Warren Br,NA,"-1"
"11","103","3524125",Templeton Brook,Stream_River,TRUE,42.53001650000,-72.02589050000,2000-06-28,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0002|,"52","225",42.53001950180,-72.02619566810,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3524125- Templeton Br,NA,"-1"
"12","104","3523925",Bailey Brook,Stream_River,TRUE,42.58925200000,-72.03683760000,2000-06-28,"2000",Total Pick-up,Backpack Shocking,---F|--GS|-LND|---P|--WS|--YB|--YP|,0002|0002|0003|0002|0017|0001|0001|,TRUE,-EBT|,0003|,"138","192",42.58928933090,-72.03684073860,"2013",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523925- Bailey Br,NA,"-1"
"13","113","3523275",East Branch Tully River,Stream_River,TRUE,42.69087200000,-72.22454170000,2000-07-10,"2000",Total Pick-up,Backpack Shocking,-CCS|--CP|--WS|--YP|,0001|0003|0002|0009|,TRUE,-EBT|,0001|,"143","143",42.69081730180,-72.22460577180,"2015",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523275- Tully R (EB),NA,"-1"
"14","114","3523200",Collar Brook,Stream_River,TRUE,42.68385940000,-72.24986950000,2000-07-10,"2000",Total Pick-up,Backpack Shocking,-BND|,0028|,TRUE,-EBT|--SC|,0022|0005|,"53","192",42.68389244060,-72.24997637910,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523200- Collar Br,NA,"-1"
"15","115","3523025",West Brook (2),Stream_River,TRUE,42.60382610000,-72.26569790000,2000-07-06,"2000",Total Pick-up,Backpack Shocking,--BB|-BND|--CP|--CS|---F|-LND|--WS|--YB|--YP|,0001|0001|0001|0058|0068|0007|0012|0003|0004|,TRUE,--BT|-EBT|,0002|0012|,"61","222",42.60386134060,-72.26581737900,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523025- West Br (2),NA,"-1"
"16","116","3523025",West Brook (2),Stream_River,TRUE,42.62214180000,-72.27406000000,2000-07-06,"2000",Total Pick-up,Backpack Shocking,--AE|--BB|-BND|--CS|--TD|--WS|,0001|0001|0227|0012|0001|0008|,TRUE,--BT|-EBT|,0001|0014|,"51","145",42.62199750650,-72.27411328970,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523025- West Br (2),NA,"-1"
"17","117","3523175",West Branch Tully River,Stream_River,TRUE,42.66283480000,-72.26477900000,2000-07-10,"2000",Total Pick-up,Backpack Shocking,-BND|--GS|-LND|---P|--TD|--WS|--YP|,0182|0002|0011|0001|0003|0001|0002|,TRUE,-EBT|,0006|,"65","172",42.66284116990,-72.26472340060,"2011",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Millers River Basin (35)/3523175- Tully R (WB),NA,"-1"
"19","119","4129280",Freeman's Brook,Stream_River,TRUE,42.16517570000,-72.14216730000,2000-06-27,"2000",Total Pick-up,Backpack Shocking,-BND|,0039|,TRUE,-EBT|,0021|,"52","186",42.16501314940,-72.14230238020,"2012",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129280- Freeman's Brook,NA,"-1"
"20","121","4129500",Stevens Brook,Stream_River,TRUE,42.05803200000,-72.18486400000,2000-06-26,"2000",Total Pick-up,Backpack Shocking,-BND|--WS|,0022|0001|,TRUE,-EBT|,0007|,"75","200",42.05802284810,-72.18482296540,"2011",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129500- Stevens Br,NA,"-1"
"21","124","4129325",Wales Brook,Stream_River,TRUE,42.07719320000,-72.20359240000,2000-07-05,"2000",Total Pick-up,Backpack Shocking,--BB|--CP|--WS|,0001|0001|0002|,TRUE,-EBT|,0058|,"36","260",42.07730080520,-72.20398357790,"2000",file:///W:/fisherie/Scanned River Files/Watersheds/Thames (4)/Quinebaug River Basin (41)/4129325- Wales Br,NA,"-1"
"22","125","8248475",Jackstraw Brook,Stream_River,TRUE,42.25604100000,-71.60413210000,2000-07-21,"2000",Total Pick-up,Backpack Shocking,--BS|--CP|---P|,0002|0006|0019|,TRUE,-EBT|,0007|,"88","256",42.25598156710,-71.60395107110,"2004",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Concord R. Basin (82)/8248475- Jackstraw Brook,NA,"-1"
"23","126","8247525",Howard Brook,Stream_River,TRUE,42.33445520000,-71.66078700000,2000-06-05,"2000",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0012|,"72","201",42.33444594990,-71.66078588040,"2013",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Concord R. Basin (82)/8247525- Howard Brook,NA,"-1"
